observation_date,DTWEXBGS
2020-01-01,115.2786
2020-02-01,116.7095
2020-03-01,121.0285
2020-04-01,123.2894
2020-05-01,122.6238
2020-06-01,119.6846
2020-07-01,118.7004
2020-08-01,116.9576
2020-09-01,116.3534
2020-10-01,115.7882
2020-11-01,114.1033
2020-12-01,111.9051
2021-01-01,111.4953
2021-02-01,112.0275
2021-03-01,113.3497
2021-04-01,112.6426
2021-05-01,111.2252
2021-06-01,111.5888
2021-07-01,113.0721
2021-08-01,113.4124
2021-09-01,113.4532
2021-10-01,114.0758
2021-11-01,115.0036
2021-12-01,115.8172
2022-01-01,115.0507
2022-02-01,115.0057
2022-03-01,116.2984
