observation_date,WALCL
2020-01-01,4159312
2020-02-01,4169901
2020-03-01,4618977
2020-04-01,6298340
2020-05-01,6947555
2020-06-01,7127786
2020-07-01,6960429
2020-08-01,6975892
2020-09-01,7048374
2020-10-01,7137412
2020-11-01,7198114
2020-12-01,7319011
2021-01-01,7372161
2021-02-01,7500084
2021-03-01,7647908
2021-04-01,7775974
2021-05-01,7866893
2021-06-01,8026555
2021-07-01,8190357
2021-08-01,8291893
2021-09-01,8418612
2021-10-01,8516525
2021-11-01,8648682
2021-12-01,8723909
2022-01-01,8820580
2022-02-01,8897596
2022-03-01,8933825
